topic,quote,source,title,filename,quote_by
Jeetu Patel,"He's like, ""Oh, I speak, I don't know, 12 or 14 or some ridiculous number.",Lenny's Podcast,Jeetu Patel,podcasts/jeetu-patel.md,Jeetu Patel
Marc Andreessen: The real AI boom hasn’t even started yet,"My friends who are really good coders are like, ""Oh my God, all of a sudden, I'm not twice as good as I used to be, I'm 10 times as good as I used to be."" And so I think, at the unit of N=1 of an individual…",Lenny's Podcast,Marc Andreessen: The real AI boom hasn’t even started yet,podcasts/marc-andreessen.md,Marc Andreessen
Why half of product managers are in trouble,"How all of you are essentially spending all your time just focusing on judgment and you're spending all your time taking anything that can be obsoleted and writing software around it."" I think none of that was even in the language, even in the vernacular 12 months ago.",Lenny's Podcast,"Why half of product managers are in trouble | Nikhyl Singhal (Meta, Google)",podcasts/nikhyl-singhal-2.md,Nikhyl Singhal
Why half of product managers are in trouble,"It depends what he means by shipping stuff because I think that if you have an engineering team of 50 people building things for your customers and you're like, ""Hey, I want to be the 51st because that's how I get leveraged."" I'm like, ""Eh, it's kind of…",Lenny's Podcast,"Why half of product managers are in trouble | Nikhyl Singhal (Meta, Google)",podcasts/nikhyl-singhal-2.md,Nikhyl Singhal
Why half of product managers are in trouble,"What's interesting is, if you read that quote, ""Genius is 1% inspiration, 99% perspiration,"" through the lens of AI, it's absolutely fascinating, because it turns out the AI will do the perspiration quite literally.",Lenny's Podcast,"Why half of product managers are in trouble | Nikhyl Singhal (Meta, Google)",podcasts/nikhyl-singhal-2.md,Nikhyl Singhal
"The secret to better AI prototypes: Why Tinder’s CPO starts with JSON, not design","The analogy I like to use, it's a little bit like taking a road trip and starting out by saying, ""Hey, we need to drive 250 miles."" It's like, no, if you're going to take a road trip, you first decide where you want to drive to.",Lenny's Podcast,"The secret to better AI prototypes: Why Tinder’s CPO starts with JSON, not design | Ravi Mehta (product advisor, previously EIR at Reforge)",podcasts/ravi-mehta.md,Ravi Mehta
Slack founder: Mental models for building products people love ft. Stewart Butterfield,"Some people, maybe their orientation is, ""Okay, the software is stupid."" But I think most people are like, ""Oh, I'm dumb."" And if you ever talk to people who aren't especially technologically savvy, the canonical example is people who are under 50 talking to their parents about using…",Lenny's Podcast,Slack founder: Mental models for building products people love ft. Stewart Butterfield,podcasts/stewart-butterfield.md,Stewart Butterfield
"Father of the iPod and iPhone on building taste, judgment, and creativity in the AI era","Yeah. The mantra was, ""Steve, if we don't have Windows connectivity, the iPod doesn't cost $349.",Lenny's Podcast,"Father of the iPod and iPhone on building taste, judgment, and creativity in the AI era | Tony Fadell",podcasts/tony-fadell.md,Tony Fadell
"Father of the iPod and iPhone on building taste, judgment, and creativity in the AI era","Today people are like, ""Yeah, I'm going to try ChatGPT or whatever. It's $20 a month or $200 a month."" That is unsustainable if you think consumers are going to pay that.",Lenny's Podcast,"Father of the iPod and iPhone on building taste, judgment, and creativity in the AI era | Tony Fadell",podcasts/tony-fadell.md,Tony Fadell
"Father of the iPod and iPhone on building taste, judgment, and creativity in the AI era","Look, I was building hardware when it wasn't in Vogue in 1995 and '96. Everyone's like, ""Tony,"" and this was in the Valley, ""Tony, you're crazy.",Lenny's Podcast,"Father of the iPod and iPhone on building taste, judgment, and creativity in the AI era | Tony Fadell",podcasts/tony-fadell.md,Tony Fadell
The hidden pattern behind successful products,"And then better is usually we can't find better. Better is usually very small increments and innovations and better is something that 10 out of 10 of the existing users of that product would say, ""Fuck yeah."" 10 out of 10, not you.",Lenny's Podcast,The hidden pattern behind successful products | Mark Pincus (Founder of Zynga),podcasts/mark-pincus.md,Mark Pincus
The hidden pattern behind successful products,"I like to think if you do Proven, Better, New right, it's like a time machine because what if I could go back to Mark 2003 and '4 and say, ""Dude, you don't even realize how right you are.",Lenny's Podcast,The hidden pattern behind successful products | Mark Pincus (Founder of Zynga),podcasts/mark-pincus.md,Mark Pincus
"The power user’s guide to Codex: parallelizing workflows, planning techniques, advanced context engineering tips, automating code reviews, and more","So then I think, ""Okay, what can we do about that?"" Well, we can ship a code review feature that helps you build confidence in the AI written code. Okay, cool.",Lenny's Podcast,"The power user’s guide to Codex: parallelizing workflows, planning techniques, advanced context engineering tips, automating code reviews, and more | Alexander Embiricos",podcasts/alexander-embiricos.md,Alexander Embiricos
"The power user’s guide to Codex: parallelizing workflows, planning techniques, advanced context engineering tips, automating code reviews, and more","I will say if you're like, ""Hey, okay, well, the hardest problem I have is that I need to build a new unicorn business,"" obviously that's not going to work. Not yet.",Lenny's Podcast,"The power user’s guide to Codex: parallelizing workflows, planning techniques, advanced context engineering tips, automating code reviews, and more | Alexander Embiricos",podcasts/alexander-embiricos.md,Alexander Embiricos
Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history,"And so if I think about, ""Okay, you're here today.",Lenny's Podcast,Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history | Amol Avasare,podcasts/amol-avasare.md,Amol Avasare
Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history,"This is, I think something that I found really, really helpful. So with Cowork, you have the Slack MCP, and you can tell Cowork to say basically, ""Look across Slack.",Lenny's Podcast,Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history | Amol Avasare,podcasts/amol-avasare.md,Amol Avasare
Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history,"I think for us, AI safety is very much in one. I think that it's like, ""Yeah, that's why we exist.",Lenny's Podcast,Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history | Amol Avasare,podcasts/amol-avasare.md,Amol Avasare
How Block is becoming the most AI-native enterprise in the world,"We're trying to say, ""Hey, all these LLMs are sitting idle overnight and on weekends while humans aren't there, there's no need for that."" They should be working all the time.",Lenny's Podcast,How Block is becoming the most AI-native enterprise in the world | Dhanji R. Prasanna,podcasts/dhanji-r-prasanna.md,Dhanji R. Prasanna
A child psychologist’s guide to working with difficult adults,"But I think about at work when someone, yeah, whatever it is we think they're getting away with, or kids, sometimes I think kids are asking, ""Is there an adult here?",Lenny's Podcast,A child psychologist’s guide to working with difficult adults | Dr. Becky Kennedy,podcasts/dr-becky-kennedy.md,Dr. Becky Kennedy
A child psychologist’s guide to working with difficult adults,"That doesn't mean Day One I think you should sit someone down and say like, ""Here's everything you're doing wrong."" They're like, ""I just started my job."" There's obviously reasonableness.",Lenny's Podcast,A child psychologist’s guide to working with difficult adults | Dr. Becky Kennedy,podcasts/dr-becky-kennedy.md,Dr. Becky Kennedy
The 100-person AI lab that became Anthropic and Google's secret weapon,"So I think there's a deep question here, which is, if you could choose the perfect model behavior, which model would you want? Do you want a model that says, ""You're absolutely right.",Lenny's Podcast,The 100-person AI lab that became Anthropic and Google's secret weapon | Edwin Chen (Surge AI),podcasts/edwin-chen.md,Edwin Chen
How to build a company that withstands any era,"""He told me I need to have mission protective provisions."" He'll pat you on the head and be like, ""Oh, that's sweet, honey. That's great.",Lenny's Podcast,"How to build a company that withstands any era | Eric Ries, Lean Startup author",podcasts/eric-ries-2.md,Eric Ries
“Dumbest idea I’ve heard” to $100M ARR: Inside the rise of Gamma,"A year later when you invite me back, I'll say, ""Yeah, this is what we learned.""",Lenny's Podcast,“Dumbest idea I’ve heard” to $100M ARR: Inside the rise of Gamma | Grant Lee (CEO),podcasts/grant-lee.md,Grant Lee
Why AI evals are the hottest new skill for product builders,"But Hamel had the context of knowing, ""Oh, we don't actually have this virtual tour functionality,"" right? So I think, in these cases, it's so important to make sure you are manually doing this yourself.",Lenny's Podcast,Why AI evals are the hottest new skill for product builders | Hamel Husain & Shreya Shankar (creators of the #1 eval course),podcasts/hamel-husain--shreya-shankar.md,Shreya Shankar
Why AI evals are the hottest new skill for product builders,"As a product manager or someone, even if you're not doing this calculation yourself, if someone ever reports to you agreement, you should immediately ask, ""Okay, tell me more."" You need to look into it.",Lenny's Podcast,Why AI evals are the hottest new skill for product builders | Hamel Husain & Shreya Shankar (creators of the #1 eval course),podcasts/hamel-husain--shreya-shankar.md,Hamel Husain
5 questions to ask when your product stops growing,"So it's a long way of saying ... So again, when I think, ""Is your pricing correct?"" I'm thinking in maybe a more general way than just the number.",Lenny's Podcast,5 questions to ask when your product stops growing | Jason Cohen (2x unicorn founder),podcasts/jason-cohen.md,Jason Cohen
Jenny Wen,"It's not just designers who are feeling like, ""Oh yeah, we have to keep up with engineers."" I think even engineers are like, ""How do we keep up with ourselves?""",Lenny's Podcast,Jenny Wen,podcasts/jenny-wen.md,Jenny Wen
The art of influence: The single most important skill that AI can’t replace,"What are you seeing as the key inputs to your success?"" The other thing people don't realize is execs want to be successful too. They want to be good at their jobs.",Lenny's Podcast,"The art of influence: The single most important skill that AI can’t replace | Jessica Fain (Webflow, ex-Slack)",podcasts/jessica-fain.md,Jessica Fain
The art of influence: The single most important skill that AI can’t replace,"I like that. Do you think that that's more important than these three other studies or three other projects that we're working on now?"" And they'll say, ""Oh no, no, no.",Lenny's Podcast,"The art of influence: The single most important skill that AI can’t replace | Jessica Fain (Webflow, ex-Slack)",podcasts/jessica-fain.md,Jessica Fain
Hard truths about building in the AI era,"And then when they were describing what they wanted to create, Andrew Mason of Groupon fame had famously said, ""These phones, these devices should have two buttons.",Lenny's Podcast,Hard truths about building in the AI era | Keith Rabois (Khosla Ventures),podcasts/keith-rabois.md,Keith Rabois
The rise of the professional vibe coder,"Stuff that's, I think, like, ""You're a middle manager. You're a middleware person that's just translating stuff."" And I can use that analogy again.",Lenny's Podcast,The rise of the professional vibe coder (a new AI-era job) | Lazar Jovanovic (Professional Vibe Coder),podcasts/lazar-jovanovic.md,Lazar Jovanovic
Marc Andreessen: The real AI boom hasn’t even started yet,"People who really want to improve themselves and develop their career should be spending every spare hour, in my view, at this point, talking to AI, being like, ""All right, train me up.""",Lenny's Podcast,Marc Andreessen: The real AI boom hasn’t even started yet,podcasts/marc-andreessen.md,Marc Andreessen
Marc Andreessen: The real AI boom hasn’t even started yet,"But what I'm telling him is, ""No, look, you need to still fully understand and learn how to write and understand code, because the coding bots are giving you code.",Lenny's Podcast,Marc Andreessen: The real AI boom hasn’t even started yet,podcasts/marc-andreessen.md,Marc Andreessen
Marc Andreessen: The real AI boom hasn’t even started yet,"By the way, again, this goes back to education. AI is your best friend at helping you learn all of that because it's like, ""Oh, I need to understand.",Lenny's Podcast,Marc Andreessen: The real AI boom hasn’t even started yet,podcasts/marc-andreessen.md,Marc Andreessen
The hidden pattern behind successful products,"Yeah. I wanted to write a book on parenting saying, ""Everything I know about parenting, I learned from my dog Zynga."" Because I had her before I had kids, and she was like a person.",Lenny's Podcast,The hidden pattern behind successful products | Mark Pincus (Founder of Zynga),podcasts/mark-pincus.md,Mark Pincus
10 contrarian leadership truths every leader needs to hear,"The framework is super useful to evaluating people. And I think the alpha beta framework is also super useful when you come away from a conversation and you're like, ""I like that guy.",Lenny's Podcast,10 contrarian leadership truths every leader needs to hear | Matt MacInnis (Rippling),podcasts/matt-macinnis.md,Matt MacInnis
"The high-growth handbook: Molly Graham’s frameworks for leading through chaos, change, and scale","Yeah, that's exactly the exercise. You're saying ""runway"" I say ""burn rate"", so we both were raised inside of companies, incentive tech, but I think it is do the math, right?",Lenny's Podcast,"The high-growth handbook: Molly Graham’s frameworks for leading through chaos, change, and scale",podcasts/molly-graham.md,Molly Graham
How to measure AI developer productivity in 2025,"And I will mention people will say, ""Well, this is kind of a chunk of time, right. It's not super precise."" Precision isn't really super important here, right.",Lenny's Podcast,How to measure AI developer productivity in 2025 | Nicole Forsgren,podcasts/nicole-forsgren.md,Nicole Forsgren
How to measure AI developer productivity in 2025,"I remember when I wrote Accelerate before, there were a couple folks that reached out after, and they were like, ""Oh, I wanted to have something included."" Now I've learned. Today I've learned, right.",Lenny's Podcast,How to measure AI developer productivity in 2025 | Nicole Forsgren,podcasts/nicole-forsgren.md,Nicole Forsgren
Why half of product managers are in trouble,"And so I think that increasingly I hear from my groups that, ""Hey, I'm attractive to this company because I have wisdom, but I stay hands-on.",Lenny's Podcast,"Why half of product managers are in trouble | Nikhyl Singhal (Meta, Google)",podcasts/nikhyl-singhal-2.md,Nikhyl Singhal
"A guide to difficult conversations, building high-trust teams, and designing a life you love","I really like the Enneagram. I think you can also simply tell each other, ""Here are my strengths.",Lenny's Podcast,"A guide to difficult conversations, building high-trust teams, and designing a life you love | Rachel Lockett",podcasts/rachel-lockett.md,Rachel Lockett
"A guide to difficult conversations, building high-trust teams, and designing a life you love","I really like the question, ""What's an inconvenient truth?"" Air the things that need to be talked about, that no one's talking about because you're too busy.",Lenny's Podcast,"A guide to difficult conversations, building high-trust teams, and designing a life you love | Rachel Lockett",podcasts/rachel-lockett.md,Rachel Lockett
"The secret to better AI prototypes: Why Tinder’s CPO starts with JSON, not design","And so what we found was actually it was very different than what we had assumed. It was essentially people saying, ""I really want to meet someone."" They have a use case.",Lenny's Podcast,"The secret to better AI prototypes: Why Tinder’s CPO starts with JSON, not design | Ravi Mehta (product advisor, previously EIR at Reforge)",podcasts/ravi-mehta.md,Ravi Mehta
"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search","Same for your camera. So if you take a picture of something, ""What's this plant?"" Or, ""How do I buy these shoes?"" It should take you to an AI little preview.",Lenny's Podcast,"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search | Robby Stein (VP of Product, Google Search)",podcasts/robby-stein.md,Robby Stein
"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search","Instead of saying, ""Oh, we don't need to solve for that,"" or, ""That's not something that's in the most addressable next thing.""",Lenny's Podcast,"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search | Robby Stein (VP of Product, Google Search)",podcasts/robby-stein.md,Robby Stein
"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search","""What do you need? What do you need to say?""",Lenny's Podcast,"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search | Robby Stein (VP of Product, Google Search)",podcasts/robby-stein.md,Robby Stein
How to show up in any room with a low heart rate: Silicon Valley’s missing etiquette playbook,"It's like, ""Wow, that's a really interesting person or idea."" The person walks across the room someone else is like, ""Hey, you really should talk to Lenny.",Lenny's Podcast,How to show up in any room with a low heart rate: Silicon Valley’s missing etiquette playbook | Sam Lessin,podcasts/sam-lessin.md,Sam Lessin
How to show up in any room with a low heart rate: Silicon Valley’s missing etiquette playbook,"It means, ""Hey, you should have a copy of this. This is not really to you.",Lenny's Podcast,How to show up in any room with a low heart rate: Silicon Valley’s missing etiquette playbook | Sam Lessin,podcasts/sam-lessin.md,Sam Lessin
Slack founder: Mental models for building products people love ft. Stewart Butterfield,"To me that was like, ""You should be embarrassed."" If you can't see almost limitless opportunities to improve, then you shouldn't be designing the product.",Lenny's Podcast,Slack founder: Mental models for building products people love ft. Stewart Butterfield,podcasts/stewart-butterfield.md,Stewart Butterfield
Slack founder: Mental models for building products people love ft. Stewart Butterfield,"They'll also be like, ""I hate this thing that drives me bananas. I really think we should stop using it,"" or advocate for the alternative.",Lenny's Podcast,Slack founder: Mental models for building products people love ft. Stewart Butterfield,podcasts/stewart-butterfield.md,Stewart Butterfield
Slack founder: Mental models for building products people love ft. Stewart Butterfield,"Yeah. I think in my more cynical examples, I would say to people, "" Stop what you're doing for a second, close-""",Lenny's Podcast,Slack founder: Mental models for building products people love ft. Stewart Butterfield,podcasts/stewart-butterfield.md,Stewart Butterfield
Boris Cherny,"I hear you have these very specific principles that you've codified for your team that when people join you walk them through them. I believe one of them is, ""What's better than doing something?",Lenny's Podcast,Boris Cherny,podcasts/boris-cherny.md,Lenny Rachitsky
"\""Sell the alpha, not the feature\"": The enterprise sales playbook for $1M to $10M ARR","A note that I just looked at, that I wrote down, that I think is very important is avoid using ""this is better"" as your pitch.",Lenny's Podcast,"\""Sell the alpha, not the feature\"": The enterprise sales playbook for $1M to $10M ARR | Jen Abel",podcasts/jen-abel.md,Lenny Rachitsky
How to measure AI developer productivity in 2025,"So what I love about this topic is that I've never met a founder or a leader who is not thinking, ""We need to move faster. We need our engineers to be more productive.",Lenny's Podcast,How to measure AI developer productivity in 2025 | Nicole Forsgren,podcasts/nicole-forsgren.md,Lenny
How to measure AI developer productivity in 2025,"You know what, I'll say yes and, right. So and it kind of goes back to why I got into this because, on the one hand, you won't say anyone who's saying, ""Uh, we don't really need to go faster.",Lenny's Podcast,How to measure AI developer productivity in 2025 | Nicole Forsgren,podcasts/nicole-forsgren.md,Nicole Forsgren
"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search","And I was like, ""Wow, that is embodying this mentality of just why is this here? How can this be better?"" And I think the best product people, the best thinkers in the space, that's how they think, in my opinion.",Lenny's Podcast,"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search | Robby Stein (VP of Product, Google Search)",podcasts/robby-stein.md,Robby Stein
Aishwarya Naresh Reganti + Kiriti Badam,"I think 2025 has been significantly different than 2024. One, the skepticism has significantly reduced.",Lenny's Podcast,Aishwarya Naresh Reganti + Kiriti Badam,podcasts/aishwarya-naresh-reganti--kiriti-badam.md,Aishwarya Naresh Reganti
Aishwarya Naresh Reganti + Kiriti Badam,So most companies that were using 4o should switch to 5 and 5 has very different properties. So that's where your calibration's off again.,Lenny's Podcast,Aishwarya Naresh Reganti + Kiriti Badam,podcasts/aishwarya-naresh-reganti--kiriti-badam.md,Aishwarya Naresh Reganti
Aishwarya Naresh Reganti + Kiriti Badam,"I'm all in for multimodal experiences in 2026. I think we have done quite some progress in 2025, and not just in terms of generation, but also understanding.",Lenny's Podcast,Aishwarya Naresh Reganti + Kiriti Badam,podcasts/aishwarya-naresh-reganti--kiriti-badam.md,Aishwarya Naresh Reganti
How to find hidden growth opportunities in your product,I think the first thing is just start somewhere. I just read this Atlassian state of product report and it was like 40% of product teams basically don't run experimentation at all.,Lenny's Podcast,"How to find hidden growth opportunities in your product | Albert Cheng (Duolingo, Grammarly, Chess.com)",podcasts/albert-cheng.md,Albert Cheng
A rational conversation on where AI is actually going,"And all of those intersect with your software developer. There's a lot of other people who are like, people are having a moment or they're not, or again, we're in that kind of 1997 moment of, ""Okay, what is this?""",Lenny's Podcast,A rational conversation on where AI is actually going | Benedict Evans,podcasts/benedict-evans.md,Benedict Evans
A rational conversation on where AI is actually going,"I think the other side of the fallacy though is to talk about taxi drivers. So, if we'd been having this conversation in 1997, it's like the Uber test.",Lenny's Podcast,A rational conversation on where AI is actually going | Benedict Evans,podcasts/benedict-evans.md,Benedict Evans
Boris Cherny,"But over the next 200 years it went up to 70% globally. So, I think this is the thing that we might see is a similar kind of transition.",Lenny's Podcast,Boris Cherny,podcasts/boris-cherny.md,Boris Cherny
Why experts writing AI evals is creating the fastest-growing companies in history,"It's painful because it's a double-edged sword. On one hand, I'm thrilled that our first 10 people are so phenomenal and I think that that has paid dividends for the business.",Lenny's Podcast,Why experts writing AI evals is creating the fastest-growing companies in history | Brendan Foody (CEO of Mercor),podcasts/brendan-foody.md,Brendan Foody
How Anthropic’s product team moves faster than anyone else,"Yeah, so we have a few PM teams. I think we're maybe around 30 or 40 PMs right now.",Lenny's Podcast,"How Anthropic’s product team moves faster than anyone else | Cat Wu (Head of Product, Claude Code)",podcasts/cat-wu.md,Cat Wu
How Anthropic’s product team moves faster than anyone else,"And so he added the to do list and we found that with that, Claude was actually able to fix all these 20 call sites.",Lenny's Podcast,"How Anthropic’s product team moves faster than anyone else | Cat Wu (Head of Product, Claude Code)",podcasts/cat-wu.md,Cat Wu
How Block is becoming the most AI-native enterprise in the world,"I think it was 6,000 or 7,000 back then. I don't know.",Lenny's Podcast,How Block is becoming the most AI-native enterprise in the world | Dhanji R. Prasanna,podcasts/dhanji-r-prasanna.md,Dhanji R. Prasanna
A child psychologist’s guide to working with difficult adults,"And I don't know, 10, 15 seconds later, everything changed for her. She looked down, and then she looked up, and she just goes, ""Can you believe they let me make that decision?"" She felt so betrayed and so not taken care of.",Lenny's Podcast,A child psychologist’s guide to working with difficult adults | Dr. Becky Kennedy,podcasts/dr-becky-kennedy.md,Dr. Becky Kennedy
A child psychologist’s guide to working with difficult adults,"So what started as an... I put up my first Instagram post on, I think it was February 28th, 2020.",Lenny's Podcast,A child psychologist’s guide to working with difficult adults | Dr. Becky Kennedy,podcasts/dr-becky-kennedy.md,Dr. Becky Kennedy
How to build a company that withstands any era,"You don't need to spend like 10 weeks on this, spend an hour and just adversarial prompting. Okay?",Lenny's Podcast,"How to build a company that withstands any era | Eric Ries, Lean Startup author",podcasts/eric-ries-2.md,Eric Ries
Snapchat CEO: Why distribution has become the most important moat,"15 years ago, we essentially learned that software is not a moat, which is something that everyone is discovering today with AI.",Lenny's Podcast,Snapchat CEO: Why distribution has become the most important moat | Evan Spiegel,podcasts/evan-spiegel.md,Evan Spiegel
“Dumbest idea I’ve heard” to $100M ARR: Inside the rise of Gamma,"Yeah, so there's this Chinese idiom that my mom used to say, it's a [foreign language 01:50:24] which the translation is ""A frog at the bottom of a well"". And the story is like there's a frog at the bottom of the well.",Lenny's Podcast,“Dumbest idea I’ve heard” to $100M ARR: Inside the rise of Gamma | Grant Lee (CEO),podcasts/grant-lee.md,Grant Lee
Why AI evals are the hottest new skill for product builders,"I 100% empathize with that, because you should be anti Likert scale LLM judge. I absolutely agree with you, we are anti that as well.",Lenny's Podcast,Why AI evals are the hottest new skill for product builders | Hamel Husain & Shreya Shankar (creators of the #1 eval course),podcasts/hamel-husain--shreya-shankar.md,Shreya Shankar
"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next",These things take 6 to 12 months to get them truly robust enough where an important process can be automated.,Lenny's Podcast,"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next | Jason Droege",podcasts/jason-droege.md,Jason Droege
"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next","So we're like, ""Wait, you wanted a quarter of a trillion dollars and then you settle for $1 million."" And of course they were just trying to drive us in a bankruptcy, drive us out of the market, and these are established companies.",Lenny's Podcast,"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next | Jason Droege",podcasts/jason-droege.md,Jason Droege
"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next","And so, we came in and we said, ""We're going to charge you 30% of the bill."" And they were like, ""Oh my God, is this group on all over again? This is way too high.",Lenny's Podcast,"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next | Jason Droege",podcasts/jason-droege.md,Jason Droege
Jeetu Patel,"I'm thinking how many can you have? I think more than 150, for sure.",Lenny's Podcast,Jeetu Patel,podcasts/jeetu-patel.md,Jeetu Patel
