title,filename,summary,source
Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history | Amol Avasare,podcasts/amol-avasare.md,"- **Lenny Rachitsky** (00:00:00): A lot of companies claim to be the fastest growing companies of all time.
- Anthropic actually is.",Lenny's Podcast
A rational conversation on where AI is actually going | Benedict Evans,podcasts/benedict-evans.md,"- **Benedict Evans** (00:00:00): My most controversial opinion is that I think that AI is as big a deal as the internet or mobile, and only as big a deal as the internet or mobile.",Lenny's Podcast
Boris Cherny,podcasts/boris-cherny.md,"- **Boris Cherny** (00:00:00): 100% of my code is written by Claude Code.
- I have not edited a single line by hand since November.",Lenny's Podcast
Why experts writing AI evals is creating the fastest-growing companies in history | Brendan Foody (CEO of Mercor),podcasts/brendan-foody.md,- **Brendan Foody** (00:00:00): The wealthiest companies in the world are willing to spend whatever it takes to improve model capabilities.,Lenny's Podcast
"Sequoia CEO coach: Why it’s never been easier to start a company, and never been harder to scale one | Brian Halligan (co-founder, HubSpot)",podcasts/brian-halligan.md,"- **Brian Halligan** (00:00:00): The thing about being a founder/CEO is there is no one there to rescue you.
- Your parents aren't going to rescue you, your VC is not going to rescue you, that kind of hits you when you hit your first crisis.",Lenny's Podcast
"Why we’re at the beginning of the AI hardware boom | Caitlin Kalinowski (ex–OpenAI, Meta, Apple)",podcasts/caitlin-kalinowski.md,"- **Caitlin Kalinowski** (00:00:00): There's a dawning realization, especially in the lab, the acceleration is going so vertical that what you can do behind a keyboard with AI is going to saturate.
- When that happens, the next frontier is the physical world.",Lenny's Podcast
"How Anthropic’s product team moves faster than anyone else | Cat Wu (Head of Product, Claude Code)",podcasts/cat-wu.md,"- **Cat Wu** (00:00:00): I think it is very hard to be the right amount of AGI-pilled.
- It's very easy to build the product for the super AGI strong model.",Lenny's Podcast
"Al Engineering 101 with Chip Huyen (Nvidia, Stanford, Netflix)",podcasts/chip-huyen.md,"- **Chip Huyen** (00:00:00): A question that get asked a lot and a lot is, ""How do we keep up to date with the latest AI news?"" Why do you need to keep up to date with the latest AI news?
- If you talk to the users who understand what they want or they don't want, look into the feedback, then you can actually improve the application way, way, way more.",Lenny's Podcast
From skeptic to true believer: How OpenClaw changed my life | Claire Vo,podcasts/claire-vo-openclaw.md,"- **Lenny Rachitsky** (00:00:00): With OpenClaw, you started off as one of the leading skeptics.",Lenny's Podcast
"The AI paradox: More automation, more humans, more work | Dan Shipper",podcasts/dan-shipper-2.md,"- **Lenny Rachitsky** (00:00:00): The last time you were on this podcast, you had this hot take that people were sleeping on Claude Code.
- You were so unbelievably right.",Lenny's Podcast
How Block is becoming the most AI-native enterprise in the world | Dhanji R. Prasanna,podcasts/dhanji-r-prasanna.md,"- **Lenny Rachitsky** (00:00:00): There's a lot of talk about productivity gains through AI.
- There's this camp of people that are so overhyped, nothing's working, nobody's actually adopting this at scale.",Lenny's Podcast
A child psychologist’s guide to working with difficult adults | Dr. Becky Kennedy,podcasts/dr-becky-kennedy.md,- **Lenny Rachitsky** (00:00:00): Most adults in the corporate environment are really just babies in disguise.,Lenny's Podcast
"The Godmother of AI on jobs, robots & why world models are next | Dr. Fei-Fei Li",podcasts/dr-fei-fei-li.md,"- **Lenny Rachitsky** (00:00:00): A lot of people call you the godmother of AI.
- The work you did actually was the spark that brought us out of AI winter.",Lenny's Podcast
The 100-person AI lab that became Anthropic and Google's secret weapon | Edwin Chen (Surge AI),podcasts/edwin-chen.md,"- **Lenny Rachitsky** (00:00:00): You guys hit a billion in revenue in less than four years with around 60 to 70 people.
- You're completely bootstrapped, haven't raised any VC money.",Lenny's Podcast
Elena Verna 4.0,podcasts/elena-verna-40.md,- **Lenny Rachitsky** (00:00:00): You're ahead of growth at Lovable on track to be the fastest or one of the fastest growing companies in history.,Lenny's Podcast
"How to build a company that withstands any era | Eric Ries, Lean Startup author",podcasts/eric-ries-2.md,"- **Eric Ries** (00:00:00): ... all kinds of famous companies.
- The thing that destroyed them was not competition.",Lenny's Podcast
Snapchat CEO: Why distribution has become the most important moat | Evan Spiegel,podcasts/evan-spiegel.md,"- **Lenny Rachitsky** (00:00:00): You guys have a billion monthly active users.
- Why is it so freaking hard to build a durable, lasting social consumer product?",Lenny's Podcast
Building the most AI-pilled engineering team in the world | Fiona Fung (Manager of the Claude Code and Cowork Teams),podcasts/fiona-fung.md,- **Lenny Rachitsky** (00:00:00): Anthropic engineers on average have eight times as much code per quarter as they did compared to 2025.,Lenny's Podcast
“Dumbest idea I’ve heard” to $100M ARR: Inside the rise of Gamma | Grant Lee (CEO),podcasts/grant-lee.md,"- **Grant Lee** (00:00:00): I'm in my third pitch in, I get to the very end of the pitch, feeling pretty good about myself.
- The investor pauses a little bit, and then just says, ""That has to be the worst pitch, worst idea I have ever heard.",Lenny's Podcast
Why AI evals are the hottest new skill for product builders | Hamel Husain & Shreya Shankar (creators of the #1 eval course),podcasts/hamel-husain--shreya-shankar.md,"- **Lenny Rachitsky** (00:00:00): To build great AI products, you need to be really good at building evals.
- It's the highest ROI activity you can engage in.",Lenny's Podcast
5 questions to ask when your product stops growing | Jason Cohen (2x unicorn founder),podcasts/jason-cohen.md,"- **Lenny Rachitsky** (00:00:00): A lot of product teams, a lot of founders built something.
- It starts to show some success and then all of a sudden it just stops growing.",Lenny's Podcast
"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next | Jason Droege",podcasts/jason-droege.md,"- **Lenny Rachitsky** (00:00:00): There's been a lot of talk these days about AI not delivering on the promise that we hear, especially at enterprises.",Lenny's Podcast
We replaced our sales team with 20 AI agents—here’s what happened | Jason Lemkin (SaaStr),podcasts/jason-m-lemkin.md,"- **Jason Lemkin** (00:00:00): Here's the mistake that 99% of founders and sales reps make.
- We're not really selling in B2B, we're solving problems.",Lenny's Podcast
"What world-class GTM looks like in 2026 | Jeanne DeWitt Grosser (Vercel, Stripe, Google)",podcasts/jeanne-grosser.md,- **Lenny Rachitsky** (00:00:00): I've been getting so many asks for go-to-market help.,Lenny's Podcast
Jeetu Patel,podcasts/jeetu-patel.md,"- **Jeetu Patel** (00:00:00): Survival of humanity depends on the successful AI.
- Birth rates are going down.",Lenny's Podcast
"\""Sell the alpha, not the feature\"": The enterprise sales playbook for $1M to $10M ARR | Jen Abel",podcasts/jen-abel.md,"- **Lenny Rachitsky** (00:00:00): I've always wanted to create a very tactical episode on how to do sales, especially with a focus on founder led sales.",Lenny's Podcast
Jenny Wen,podcasts/jenny-wen.md,"- **Jenny Wen** (00:00:00): This design process that designers have been taught, we sort of treat it as gospel.
- That's basically dead.",Lenny's Podcast
"The art of influence: The single most important skill that AI can’t replace | Jessica Fain (Webflow, ex-Slack)",podcasts/jessica-fain.md,"- **Jessica Fain** (00:00:00): As product managers, one of our best sets of skills is curiosity and empathy and trying to understand our users.
- But the moment that we're talking to an executive, we forget those skills and those talents.",Lenny's Podcast
Hard truths about building in the AI era | Keith Rabois (Khosla Ventures),podcasts/keith-rabois.md,"- **Keith Rabois** (00:00:00): ... idea of a PM makes no sense in the future.
- The skill is more like being a CEO now, which is what are we building and why?",Lenny's Podcast
The rise of the professional vibe coder (a new AI-era job) | Lazar Jovanovic (Professional Vibe Coder),podcasts/lazar-jovanovic.md,- **Lazar Jovanovic** (00:00:00): I'm the first official vibe coding engineer at Lovable.,Lenny's Podcast
Marc Andreessen: The real AI boom hasn’t even started yet,podcasts/marc-andreessen.md,"- **Marc Andreessen** (00:00:00): If we didn't have AI, we'd be in a panic right now about what's going to happen to the economy.
- We've actually been in a regime for 50 years of very slow technological change in the face of declining population growth.",Lenny's Podcast
The hidden pattern behind successful products | Mark Pincus (Founder of Zynga),podcasts/mark-pincus.md,"- **Mark Pincus** (00:00:00): If you're truly ambitious, burn your resume.",Lenny's Podcast
10 contrarian leadership truths every leader needs to hear | Matt MacInnis (Rippling),podcasts/matt-macinnis.md,"- **Matt MacInnis** (00:00:00): It is really important to me that we feel that we've deliberately understaffed every project at the company.
- If you overstaff, you get politics, you get people working on things that are further down the priority list than necessary.",Lenny's Podcast
The woman behind Canva shares how she built a $42B company from nothing | Melanie Perkins,podcasts/melanie-perkins.md,"- **Lenny Rachitsky** (00:00:00): There's a very famous story about Canva.
- Early on, you pitched over a hundred investors and over a hundred investors said no to you.",Lenny's Podcast
"The high-growth handbook: Molly Graham’s frameworks for leading through chaos, change, and scale",podcasts/molly-graham.md,"- **Lenny Rachitsky** (00:00:00): You've worked with many very high performing founder CEOs.
- Zuck, Cheryl Sandberg.",Lenny's Podcast
How to measure AI developer productivity in 2025 | Nicole Forsgren,podcasts/nicole-forsgren.md,"- **Nicole Forsgren** (00:00:00): Starting with what is your problem or what is your goal?
- I would say this is a bigger challenge than most people recognize or realize. 80% of the folks that I work with, this is their biggest problem.",Lenny's Podcast
"Why half of product managers are in trouble | Nikhyl Singhal (Meta, Google)",podcasts/nikhyl-singhal-2.md,- **Lenny Rachitsky** (00:00:00): The skills that used to be really valued in product managers are changing substantially.,Lenny's Podcast
"A guide to difficult conversations, building high-trust teams, and designing a life you love | Rachel Lockett",podcasts/rachel-lockett.md,"- **Lenny Rachitsky** (00:00:00): When clients come to you, what is the biggest gap they have that is keeping them from being successful as leaders?",Lenny's Podcast
"The secret to better AI prototypes: Why Tinder’s CPO starts with JSON, not design | Ravi Mehta (product advisor, previously EIR at Reforge)",podcasts/ravi-mehta.md,"- **Ravi Mehta** (00:00:00): The framework I like to use with product leaders that I'm coaching is to think about a matrix.
- Your ideal goal is to lead in a scalable way, which means you feel really confident about the direction of your team and your team has the autonomy to move in that direction.",Lenny's Podcast
"Inside Google's AI turnaround: The rise of AI Mode, strategy behind AI Overviews, and their vision for AI-powered search | Robby Stein (VP of Product, Google Search)",podcasts/robby-stein.md,"- **Lenny Rachitsky** (00:00:00): It feels like something has changed internally at Google.
- Just last week, Google Gemini hit the number one app in the App Store.",Lenny's Podcast
How to show up in any room with a low heart rate: Silicon Valley’s missing etiquette playbook | Sam Lessin,podcasts/sam-lessin.md,"- **Sam Lessin** (00:00:00): I just feel like no one's being honest in teaching founders this.
- Be early.",Lenny's Podcast
Sherwin Wu V2,podcasts/sherwin-wu-v2.md,- **Sherwin Wu** (00:00:00): 95% of engineers use Codex. 100% of our PRs are reviewed by Codex.,Lenny's Podcast
"An AI state of the union: We’ve passed the inflection point, dark factories are coming, and automation timelines | Simon Willison",podcasts/simon-willison.md,"- **Simon Willison** (00:00:00): A lot of people woke up in January and February and started realizing, ""Oh wow, I can churn out 10,000 lines of code in a day."" It used to be you'd ask ChatGPT for some code and it would spit out some code, and you have to run it and test it.
- The coding agents, they take that step for you, and an open question for me is how many other knowledge work fields are actually prone to these agent loops?",Lenny's Podcast
Slack founder: Mental models for building products people love ft. Stewart Butterfield,podcasts/stewart-butterfield.md,"- **Stewart Butterfield** (00:00:00): This is 2014.
- That was the year that Slack actually launched.",Lenny's Podcast
"Why LinkedIn is turning PMs into AI-powered \""full stack builders” | Tomer Cohen (LinkedIn CPO)",podcasts/tomer-cohen.md,"- **Lenny Rachitsky** (00:00:00): I think it's so underappreciated, the turnaround that has happened within LinkedIn.
- I check it at least 10 times a day.",Lenny's Podcast
"Father of the iPod and iPhone on building taste, judgment, and creativity in the AI era | Tony Fadell",podcasts/tony-fadell.md,"- **Tony Fadell** (00:00:00): You still need humans in the loop.
- Don't surrender to the machine.",Lenny's Podcast
The non-technical PM’s guide to building with Cursor | Zevi Arnovitz (Meta),podcasts/zevi-arnovitz.md,"- **Lenny Rachitsky** (00:00:00): You are a product manager shipping product without knowing how to write code, barely knowing how to review code.",Lenny's Podcast
product_specs,product_specs.md,,/
